Account Name,Record Type,Record Type ID,Agriculture Type,Industry,Billing Street,Billing City,Billing State,Billing Postal Code,Billing Country,Phone,Website,Annual Revenue,Number of Employees,Description,Rating,Customer Priority,SLA,Upsell Opportunity,Active,Created Date,Last Activity Date,Billing Latitude,Billing Longitude
Midwest Company,Distributor,012KY0000001OFdYAM,Grain Handler,Agriculture,2338 Jefferson Pl,City19,Nebraska,59512,United States,(641) 434-4349,www.midwestcompany.com,16061493,464,Leading grain handler serving the Nebraska region,Warm,Medium,Gold,Yes,Yes,2024-08-25,2025-05-21,27.034646,-92.053041
Farm Enterprises,Distributor,012KY0000001OFdYAM,Seed Distributor,Agriculture,8609 Polk Dr,City20,Wyoming,11645,United States,(641) 850-7354,www.farmenterprises.com,36214673,301,Leading seed distributor serving the Wyoming region,Warm,Medium,Gold,No,Yes,2023-08-12,2025-05-16,37.316151,-120.932287
Western Enterprises,Distributor,012KY0000001OFdYAM,Grain Handler,Agriculture,6421 Taylor Ln,City21,Wisconsin,13084,United States,(641) 267-8567,www.westernenterprises.com,41511604,265,Leading grain handler serving the Wisconsin region,Warm,Low,Gold,Maybe,Yes,2024-06-12,2025-06-12,34.994853,-84.943945
Green Group,Distributor,012KY0000001OFdYAM,Precision Agriculture,Agriculture,440 Fillmore Blvd,City22,Indiana,46934,United States,(515) 944-3719,www.greengroup.com,30892727,65,Leading precision agriculture serving the Indiana region,Cold,High,Gold,No,Yes,2023-06-07,2025-05-05,30.278841,-120.701824
River Partners,Distributor,012KY0000001OFdYAM,Equipment Dealer,Agriculture,7208 Harrison Ct,City23,Georgia,27859,United States,(319) 568-9450,www.riverpartners.com,23442137,444,Leading equipment dealer serving the Georgia region,Cold,High,Gold,No,Yes,2024-06-28,2025-06-19,36.648318,-70.824969
Farm Services,Distributor,012KY0000001OFdYAM,Equipment Dealer,Agriculture,7159 Maple Blvd,City24,Minnesota,35331,United States,(515) 515-9273,www.farmservices.com,39367413,94,Leading equipment dealer serving the Minnesota region,Hot,Low,Bronze,Yes,Yes,2023-04-22,2025-06-07,48.124104,-92.014744
Farm Solutions,Distributor,012KY0000001OFdYAM,Seed Distributor,Agriculture,8994 Cedar Dr,City25,Wyoming,61231,United States,(712) 322-9367,www.farmsolutions.com,43260141,140,Leading seed distributor serving the Wyoming region,Warm,High,Gold,No,Yes,2023-12-08,2025-06-21,26.821267,-93.277431
Southern Company,Distributor,012KY0000001OFdYAM,Equipment Dealer,Agriculture,1202 Cedar Dr,City26,Washington,85204,United States,(712) 532-4894,www.southerncompany.com,23181493,442,Leading equipment dealer serving the Washington region,Warm,Low,Gold,No,Yes,2023-04-20,2025-07-01,45.990488,-80.741494
Harvest Solutions,Distributor,012KY0000001OFdYAM,Precision Agriculture,Agriculture,9136 Polk Ln,City27,Tennessee,26063,United States,(641) 310-6266,www.harvestsolutions.com,42378350,114,Leading precision agriculture serving the Tennessee region,Warm,Medium,Silver,Yes,Yes,2024-04-25,2025-06-16,45.325962,-122.423926
Valley Group,Distributor,012KY0000001OFdYAM,Machinery Parts,Agriculture,1097 Monroe Blvd,City28,South Dakota,38083,United States,(712) 709-6647,www.valleygroup.com,4517043,426,Leading machinery parts serving the South Dakota region,Cold,Medium,Gold,Yes,Yes,2025-01-10,2025-07-07,40.659044,-123.697072
Western Partners,Distributor,012KY0000001OFdYAM,Irrigation Systems,Agriculture,2586 Harrison St,City29,North Carolina,65553,United States,(563) 918-5080,www.westernpartners.com,37478822,313,Leading irrigation systems serving the North Carolina region,Hot,Low,Gold,No,Yes,2022-10-09,2025-05-21,29.92643,-108.905272
Seed Supply Co.,Distributor,012KY0000001OFdYAM,Equipment Dealer,Agriculture,5038 Main Ave,City30,Georgia,49424,United States,(712) 220-9020,www.seedsupplyco.com,15478081,232,Leading equipment dealer serving the Georgia region,Hot,Low,Bronze,Maybe,Yes,2023-04-05,2025-06-06,30.568043,-92.674273
Agri Distributors,Distributor,012KY0000001OFdYAM,Chemical Distributor,Agriculture,6042 Washington Rd,City31,New Mexico,52122,United States,(712) 552-5544,www.agridistributors.com,35771297,496,Leading chemical distributor serving the New Mexico region,Cold,Medium,Silver,No,Yes,2023-01-10,2025-07-01,47.53602,-78.204432
Western Partners,Distributor,012KY0000001OFdYAM,Feed Supplier,Agriculture,1683 Tyler Pl,City32,Kansas,82825,United States,(641) 257-4500,www.westernpartners.com,35530537,293,Leading feed supplier serving the Kansas region,Warm,High,Silver,Yes,Yes,2023-06-19,2025-04-28,43.407193,-67.714256
Farm LLC,Distributor,012KY0000001OFdYAM,Fertilizer Supplier,Agriculture,4482 Elm Ct,City33,Arkansas,78645,United States,(319) 336-6559,www.farmllc.com,25372085,88,Leading fertilizer supplier serving the Arkansas region,Warm,High,Gold,No,Yes,2024-04-28,2025-07-22,31.613197,-87.129217
Prairie Corp.,Distributor,012KY0000001OFdYAM,Machinery Parts,Agriculture,2762 Cedar Way,City34,North Carolina,30158,United States,(641) 251-3729,www.prairiecorp.com,46333250,353,Leading machinery parts serving the North Carolina region,Warm,Medium,Silver,No,Yes,2023-07-28,2025-07-20,47.93428,-72.654763
Green Solutions,Distributor,012KY0000001OFdYAM,Feed Supplier,Agriculture,3841 Van Buren St,Peoria,Illinois,97842,United States,(319) 587-1367,www.greensolutions.com,8761709,335,Leading feed supplier serving the Illinois region,Warm,Medium,Gold,Maybe,Yes,2023-09-04,2025-05-20,40.595565,-89.519831
Crop Enterprises,Distributor,012KY0000001OFdYAM,Seed Distributor,Agriculture,8872 Fillmore Ln,City36,Kentucky,98655,United States,(319) 722-9935,www.cropenterprises.com,11368142,157,Leading seed distributor serving the Kentucky region,Hot,Low,Gold,No,Yes,2023-02-15,2025-06-07,35.913381,-82.666164
Green Corp.,Distributor,012KY0000001OFdYAM,Fertilizer Supplier,Agriculture,4334 Fillmore Ct,City37,South Carolina,39309,United States,(712) 984-3669,www.greencorp.com,27366318,238,Leading fertilizer supplier serving the South Carolina region,Hot,High,Silver,Yes,Yes,2024-08-25,2025-06-08,40.606866,-81.425674
Western Corp.,Distributor,012KY0000001OFdYAM,Livestock Equipment,Agriculture,5539 Taylor Ave,City38,Oregon,59922,United States,(712) 882-2433,www.westerncorp.com,40276765,248,Leading livestock equipment serving the Oregon region,Hot,Low,Bronze,Yes,Yes,2023-06-14,2025-06-27,48.560564,-69.781861
Harvest Supply Co.,Distributor,012KY0000001OFdYAM,Equipment Dealer,Agriculture,4975 Fillmore Pl,City39,North Carolina,36723,United States,(563) 782-6259,www.harvestsupplyco.com,24465049,282,Leading equipment dealer serving the North Carolina region,Hot,Medium,Bronze,Maybe,Yes,2023-12-04,2025-05-23,30.048598,-80.182252
Harvest Enterprises,Distributor,012KY0000001OFdYAM,Seed Distributor,Agriculture,8752 Fillmore St,City40,Wyoming,14880,United States,(641) 874-7615,www.harvestenterprises.com,31813557,245,Leading seed distributor serving the Wyoming region,Hot,Low,Bronze,No,Yes,2023-01-01,2025-06-15,41.470655,-94.773637
Midwest Distributors,Distributor,012KY0000001OFdYAM,Machinery Parts,Agriculture,2545 Pine Ct,City41,Oklahoma,44929,United States,(515) 291-2774,www.midwestdistributors.com,40562362,323,Leading machinery parts serving the Oklahoma region,Cold,Medium,Bronze,Maybe,Yes,2023-12-29,2025-05-27,26.50871,-109.262964
Grow Corp.,Distributor,012KY0000001OFdYAM,Equipment Dealer,Agriculture,6839 Adams Rd,City42,Wisconsin,44275,United States,(515) 843-5078,www.growcorp.com,36366030,337,Leading equipment dealer serving the Wisconsin region,Cold,High,Gold,Maybe,Yes,2023-07-18,2025-05-05,39.322872,-91.35649
River Supply Co.,Distributor,012KY0000001OFdYAM,Fertilizer Supplier,Agriculture,3657 Oak Rd,City43,Tennessee,43127,United States,(319) 796-6868,www.riversupplyco.com,21219369,357,Leading fertilizer supplier serving the Tennessee region,Cold,High,Gold,No,Yes,2024-06-27,2025-05-25,25.391537,-73.873533
Agri Partners,Distributor,012KY0000001OFdYAM,Organic Products,Agriculture,7996 Taylor Dr,City44,Arkansas,41752,United States,(319) 609-5293,www.agripartners.com,49845119,391,Leading organic products serving the Arkansas region,Warm,Medium,Gold,Yes,Yes,2025-01-19,2025-07-24,33.220035,-122.405187
Midwest Services,Distributor,012KY0000001OFdYAM,Livestock Equipment,Agriculture,5356 Van Buren Rd,City45,Wyoming,77763,United States,(515) 401-4493,www.midwestservices.com,1389528,207,Leading livestock equipment serving the Wyoming region,Warm,Low,Silver,No,Yes,2023-01-17,2025-06-28,27.821482,-86.270549
Grow Inc.,Distributor,012KY0000001OFdYAM,Seed Distributor,Agriculture,774 Madison St,San Antonio,Texas,97326,United States,(563) 998-8579,www.growinc.com,44106722,103,Leading seed distributor serving the Texas region,Cold,Medium,Bronze,Yes,Yes,2024-07-26,2025-05-11,29.503641,-98.469561
Valley Distributors,Distributor,012KY0000001OFdYAM,Grain Handler,Agriculture,377 Harrison Way,City47,Minnesota,49835,United States,(563) 674-6722,www.valleydistributors.com,19424353,364,Leading grain handler serving the Minnesota region,Hot,High,Silver,No,Yes,2024-09-13,2025-05-02,45.923206,-93.467422
Seed Supply Co.,Distributor,012KY0000001OFdYAM,Seed Distributor,Agriculture,9686 Pierce Dr,City48,North Dakota,76491,United States,(515) 344-3115,www.seedsupplyco.com,32834053,322,Leading seed distributor serving the North Dakota region,Cold,Medium,Silver,No,Yes,2024-04-06,2025-05-06,27.470214,-78.401158
Midwest Enterprises,Distributor,012KY0000001OFdYAM,Machinery Parts,Agriculture,5752 Polk Rd,City49,Wisconsin,66269,United States,(515) 538-2827,www.midwestenterprises.com,10185881,209,Leading machinery parts serving the Wisconsin region,Cold,Medium,Silver,Yes,Yes,2024-03-01,2025-07-18,41.737081,-107.10678
River Distributors,Distributor,012KY0000001OFdYAM,Fertilizer Supplier,Agriculture,7445 Jackson Blvd,City50,Idaho,47223,United States,(515) 788-6370,www.riverdistributors.com,20285760,266,Leading fertilizer supplier serving the Idaho region,Cold,Low,Bronze,No,Yes,2024-01-23,2025-05-11,38.978854,-84.477525
